INFO 2024-06-29 09:02:02,104 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1718524816.1867476
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\debug_toolbar\panels\templates\views.py first seen with mtime 1718764091.797618
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1718524813.8644197
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1718524815.8677452
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1718524816.063745
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\djangoproject\djangoproject\__init__.py first seen with mtime 1718762991.712
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\sqlite3\client.py first seen with mtime 1718524816.132745
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1718524816.158745
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\temp.py first seen with mtime 1718524816.0577452
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\views\main.py first seen with mtime 1718524814.3004062
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\PIL\_version.py first seen with mtime 1718764250.732077
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\test\testcases.py first seen with mtime 1718524816.2907474
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1718471976.3068702
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\apps\__init__.py first seen with mtime 1718524813.5234063
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_events.py first seen with mtime 1712654418.0
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\debug_toolbar\panels\redirects.py first seen with mtime 1718764091.785617
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\crypto.py first seen with mtime 1718524816.3017454
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1718524816.1827452
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\library.py first seen with mtime 1718524816.2707453
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1718524816.1027455
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1718471976.338125
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1718524814.674406
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\asyncio\protocols.py first seen with mtime 1712654418.0
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\hmac.py first seen with mtime 1712654418.0
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\xml\dom\__init__.py first seen with mtime 1712654418.0
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\phone_field\phone_number.py first seen with mtime 1718763968.644565
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1718471976.338125
